"","numRente","result"
"53","53.1","Sour le maison Saintain, feme Pieron Chevalier ki fu, et sour tout le tenement, ki siet entre le porte dou Ma[r]kiet, d'une part, et le tenement ki fu Jakemon le Gontier, d'autre part, 3 mars; a prendre ce marc en 9 mars tout avant, ke Agniés Dou Riés i a. "
"54","54.2","Sour le maison le femme Pieron d'Aubi, ki fu Jakemon le Gontier, et sour tout le tenement, ki siet entre le tenement Saintain le Chevaliere, d'une part, et le tenement Jehan de Le Cavene, ki fu Symon le Carlier, d'autre part, 3 fertons. "
"55","55.3","Sour le maison Jehan de Le Cavene, ki fu Symon le Carlier, et sour tout le tenement, ki siet entre le tenement le feme Pieron d'Aubi, ki fu Jakemon le Gontier, d'une part, et le tenement Colart le Rikier, ki fu Waubiert Baudenne, d'autre part, 6 mars et 3 fertons. "
"56","56.4","Sour le maison Colart le Rikier, ki fu Waubert Baudenne, et sour tout le tenement dusques as murs de le vile, ki siet entre le tenement Jehan de Le Cavene, d'une part, et le tenement Waubiert le Kievre ki fu, d'autre part, aprés le fons de le tiere, 12 mars. "
"57","57.5","Sour le maison Waubiert le Kievre ki fu et sour tout le tenement, ki fu Waubiert Baudene, ki siet entre le tenement Colart le Rikier, d'une part, et le tenement Amant de Landast, d'autre part, aprés le fons de le tiere, 8 mars. "
"58","58.6","Sour le maison Henri Dodin et sour tout le tenement ki fu Watier Dodin, le pere se femme, ki siet entre le tenement Agniés Le Leu, ki fu femme Jakemon de Landast, d'une part, et le tenement Rogier le Fevre, d'autre part, aprés le fons de le tiere, 4 mars et demi. Si fu li mars et 1/2 Bouart. "
"59","59.7","Sour le maison Rogier le Fevre et sour tout le tenement, ki siet entre le tenement celui Rogier, d'une part, et le tenement Jehan de Lanete, d'autre part, aprés le fons de le tiere, 4 mars.  "
"60","60.8","Sour le maison Mikiel d'Arras, ki fu Wicart le Monniier, et sour tout le tenement, ki siet entre le tenement Jehan de Masengarbe, ki fu Jakemon Enlart, d'une part, et le tenement d'Anchin, d'autre part, aprés le fons de le tiere, 15 mars. "
"61","61.9","Sour le maison [Jakemon] Dou Cauçon et sour tout le tenement, ki fu Tiebaut le Talleur, ki siet entre le tenement le provost de Douay, ki fu Werin le Maieur, d'une part, et le tenement Agniés Dou Riés, d'autre part, 12 mars. "
"62","62.10","Sour le maison Agniés Dou Riés et sour tout le tenement, et sour le praiel et sour le porte dou Markiet, ki siet entre le tenement Jakemon Dou Cauçon, d'une part, et le tenement Saintain Chevaliere, d'autre part, dou fons de le tiere, demi marc.   "
"63","63.1","Sour les maisons Mariien Audefroi et sour les tenemens, et sour le tenement, ki fu le maistre Jehan de Bainnes, ki sient entre le tenement de le vile, ki siet sour le Markié, d'une part, et le tenement Jehan de Masengarbe, d'autre part. aprés le fons de le tiere, 1 marc. "
"64","64.2","Sour le maison Bliaut l'Orfevre et sour tout le tenement, ki siet entre le tenement Ricouart Bofflin, ki fu Pieron d'Aubi. d'une part, et le tenement Pieron le Blankisseur, d'autre part, aprés le fons de le tiere, 3 mars. "
"65","65.3","Sour le maison Pieron le Blankisseur et sour tout le tenement, ki siet entre le tenement Bliaut l'Orfevre, d'une part, et le tenement Jakemon Painmoulliet, d'autre part. aprés le fons de le tiere, 3 mars. "
"66","66.4","Sour le maison Jehennain le Merchiere et sour tout le tenement, ki fu Mikiel de Harnes, ki siet entre le tenement Huon l'Enfant, sour le touket de le rue Saint Piere, d'une part, et le tenement, ki fu Mariien Costiere, d'autre part, aprés le fons de le tiere, 1 marc; item, 1 marc, ki fu Hennin Porcelet. "
"67","67.5","Sour le maison Watier Musart, ki fu Gillion, sen frere, et sour tout le tenement, ki siet entre le tenement ki fu Marien Costiere, d'une part, et le tenement Bernart Catel, d'autre part, 2 mars et demi, aprés le gavene. Si fu li marc accatés a l'abbé de Saint Amant. "
"68","68.6","Sour le maison Bernart Catel et sour tout le tenement, ki siet entre le tenement Watier Musart, d'une part, et le tenement Lanvin de Saint Venant, d'autre part, ki fu Pieron Dieu Ami, un ferton, dou fons de le tiere. "
"69","69.7","Sour le maison Ysabiel Audegon et sour le maison Baude de Commines, ki furent Tioul, et sour tous les tenemens, ki sient entre le tenement Lanvin de Saint Venant, d'une part, et le tenement celui Baude de Commines, u il maint, d'autre part, 5 mars et 1 ferton, aprés le fons de le tiere. "
"70","70.8","Sour le maison Baude de Commines et sour tout le tenement, ki siet entre le tenement Ysabiel Audegon, d'une part, et le tenement Gillion de Canfin, d'autre part, aprés le fons de le tiere, 1 marc, ki fu Jakemon Pourciel. "
"71","71.9","Sour le maison Gillion de Canfin et sour tout le tenement, ki siet entre le tenement Baude de Commines, d'une part, et le tenement Henri Pourcelet ki fu, d'autre part, 100 s. de douysiens, dou fons de le tiere.  "
"72","72.10","Sour les maisons Liegart Malet, ki furent Marien de Saint Amant, se mere, et sour tous les tenemens, ki sient entre le tenement Watier Porcelet, d'une part, et le tenement Evrart l'Enfant, d'autre part, ki fu Morant Dou Pont, aprés le fons de le tiere, 4 mars. "
"73","73.11","Sour le maison Evrart l'Enfant, ki fu Morant Dou Pont, et sour tout le tenement, ki siet entre le tenement Liegart Malet, d'une part, et le tenement Robiert Boinebroke, ki fu Grart d'Aigremont, d'autre part, aprés le fons de le tiere, 6 mars. "
"74","74.12","Sour le hale u li eskievin plaident et sour le praiel deriere, et sour tout le tenement, ki fu Hennot Cavete, ki siet entre le tenement Jehan Painmoulliet, ki fu Aman de Lens, d'une part, et le hale u on vent les dras en gros le deluns, d'autre part, 3 mars. "
"75","75.13","Sour le maison Pieron le Cordier, ki fu Baude Platiel, et sour tout le tenement, ki siet entre le tenement Baude Capelet, d'une part, et le tenement le feme Pieron Daghenet, d'autre part, ki fu Amouri de Dichi, aprés le fons de le tiere, 1 marc. Si fu cis marc Bouart.   "
"76","76.1","Sour le maison Sandrart Masenghe et sour tout le tenement, ki siet entre le tenement Colart Aghehies, ki fu Druion de Rovecort, d'une part, et le tenement Amouri d'Allues, d'autre part, aprés le fons de le tiere, 3 mars. "
"77","77.2","Sour le maison Amouri d'Allues et sour tout le tenement, ki siet entre le tenement Sandrart Masenghe, d'une part, et le tenement Williaume Jolit, d'autre part, aprés le fons de le tiere, 2 mars et 3 fertons. "
"78","78.3","Sour les maisons Williaume le Jolit et sour tous les tenemens, ki furent Ernoul le Goudalier, ki sient entro le tenement Amouri d'Allues, d'une part, et le tenement Bauduin d'Anvin, d'autre part, aprés le fons de le tiere, 5 mars. "
"79","79.4","Sour le maison Thumas le Kievre et sour tout le tenement, ki fu Bauduin le Vieuwarier, ki siet entre le tenement Biernart Campenois, ki fu Williaume de Saudemont, d'une part, et le tenement Richart Pourciel, aprés le fons de le tiere, 2 mars et 1/2, et 3 s. par. "
"80","80.5","Sour le maison Jehan Pikete, ki fu Grart l'Abbet, et sour tout le tenement, ki siet entre le tenement Richart Pourciel, d'une part, et le tenement Jehan le Segart, d'autre part, aprés le fons de le tiere, 4 mars. B En l'autre renc "
"81","81.6","Sour les maisons de le taule dou Saint [Esprit], ki furent Emmain Rousiele, et sour tous les tenemens, ki sient entre le mur de le ville de le porte au Cierf, d'une part, et le tenement me dame Aalis, d'autre part, 9 douysiens et 3 capons, dou fons de le tiere. Si fu de le rente Saint Amant. "
"82","82.7","Sour le maison Ivetain Moriele et sour tout le tenement, ki fu Sauvee Gheule, ki siet entre le moustier Saint Jehan, d'une part, et le tenement les enfans Jehan Trubiert ki fu, d'autre part, aprés le fons de le tiere, 5 mars. "
"83","83.8","Sour le maison Jakemon Espaignot et sour le grande maison, ki fu Mgr Pieron Orighe, pour le tiere de le tresorie de celi maison, ki fu mise as aises de le grande maison, et sour tous les tenemens, ki sient entre le tenement, ki fu Bernart Fonteniele, d'une part, et le tenement Jehan Pikete, ki fu Baude Piecin, d'autre part, un marc.  "
"84","84.1","Sour les 2 maisons Jehan le Segart, et sour le maison Colart de Montegni et 4 maisons Werin le Fornier; si sient les 3 maisons en le premiere rue de Barlet; et sour tous les tenemens, ki sient entre le premiere rue de Barlet, et sour tous les tenemens ki sient entre le tenement les enfans Jakemon Painmoulliet ki fu, d'une part, et le tenement des Charteriers, d'autre part, 4 mars et 14 d. par., aprés le fons de le tiere.  "
"85","85.9","Sour le maison Adan Lenglés et sour 2 maisons de ce tenement, ki sient deriere en le premiere rue de Barlet, et sour tous les tenemens, ki sient entre le tenement Waubiert le Kievre ki fu, d'une part, et le tenement Marien le Rainghiere, d'autre part, aprés le fons de le tiere, 5 mars. "
"86","86.10","Sour le maison Marien Ricouart de Saint Eloit et sour tout le tenement, ki siet entre le tenement Marien Patroulle, d'une part, et le tenement Colart de Dichi, ki fu Colart Tourte, aprés le fons de le tiere, demi marc. "
"87","87.11","Sour le maison Colart de Dichi et sour tout le tenement, ki fu Colart Tourte, ki siet entre le tenement Mariien Louvri, d'une part, et le tenement Marien Patroulle, d'autre part, aprés le fons de le tiere, demi marc. "
"88","88.12","Sour le maison Gillion de Flekieres et sour tout le tenement, ki siet entre le tenement Jehan Verderiel, d'une part, et le tenement Gillot le Sergant, d'autre part, ki fu Jehan de Le Riue, aprés le fons de le tiere, 5 mars. "
"89","89.13","Sour 4 maisons de Saint Eloyt et sour tous les tenemens, ki furent Ghiertrut Frongnete, ki sient entre le tenement Mariien Patroulle, d'une part, et le moustier Saint Eloyt, d'autre part, dou fons de le tiere, 16 s. de douysiens et 4 capons.  "
"90","90.14","Sour 4 maisons Pieron de Cambrai et sour 2 maisons de ce tenement, ki sient deriere, en le rue Pute i muce, et sour tous les tenemens, ki sient entre le tenement Symon de Le Porte, d'une part, et le tenement les hoirs Jakemon de Cambrai ki fu, dou fons de le tiere, 13 s. douysiens. "
"91","91.15","Sour 3 maisons Jehan de Bauvin ki fu et sour tout le tenement Jehan de Clari, ki fu Grart le Patinier, et sour tous les tenemens, ki sient entre le tenement Jehan de Bertuis, ki fu Barde Biele Ante, d'une part, et le tenement Robiert Cadot, d'autre part, aprés le fons de le tiere, 1 marc. "
"92","92.16","Sour 2 maisons Jakemon Le Leu et sour tous les tenemens, ki sient entre le tenement Jehan de Clari, d'une part, et le tenement Marien Louvri, d'autre part, aprés le fons de le tiere, 3 mars.   "
"93","93.1","Sour 2 maisons Jehan le Cordier et sour tout le tenement, ki siet entre le tenement Watier Costet ki fu, u les maisons sont këues, d'une part, et le tenement Pieronain le Conmere, ki fu Jakemon Des Wars, aprés le fons de le tiere, demi marc. "
"94","94.2","Sour le maison Jehan d'Arras et sour tout le tenement, ki fu Mariien Truee, ki siet entre le tenement Marien Louvri, d'une part, et le tenement ki fu Walet le Chareton, d'autre part; si le tient Jehans d'Arras; aprés le fons de le tiere, 16 s. par. "
"95","95.3","Sour 4 maisons des Carterier et des Malades, et sour tous les tenemens, ki sient entre le tenement Jehan d'Arras, d'une part, ki fu Walet le Chareton, et le tenement Werin le Fournier, d'autre part, ki fu Nicholon de Buignicort, aprés le fons de le tiere, demi marc.  "
"96","96.1","Sour les maisons Gillion de Flekieres et sour tous les tenemens, ki sient entre le tenement Jehan Hautdecur, d'une part, et le tenement Jehan d'Estrassieles, d'autre part, aprés le fons de le tiere, 1 ferton. "
"97","97.2","Sour le maison Williaume de Fierin et sour tout le tenement, ki fu Jehan Ribaut, dou fons de le tiere, 1 ferton et 1 capon. "
"98","98.3","Item, sour une maison Williaume de Fierin et sour tout le tenement, ki fu Bernart Pourre Oroille, dou fons de le tiere, 1 ferton. Si sient cist doi tenement entre le tenement Mariien de Fretin, d'une part, et le tenement Williaume le Flamenc, d'autre part. B En l'autre rench "
"99","99.4","Sour le maison Williaume de Fierin et sour tout le tenement, ki fu Liebert le Lavendier, ki siet entre le tenement celui Williaume de Fierin, d'une part, et le tenement Marien le Sainglere, d'autre part, dou fons de le tiere, 32 douysiens. "
"100","100.5","Sour 2 maisons Huon Doucet et sour tout le tenement, ki siet entre le tenement Williaume de Fierin, d'une part, et le tenement Mariien de Lens, ki fu Huon de Fretin, d'autre part, 5 s. et 4 d. douysiens, dou fons de le tiere. "
"101","101.6","Sour le maison Pieron de Buignicort et sour le maison Huon de Fretin, et sour tous les tenemens, ki sient entre le tenement Huon Doucet, d'une part, et le tenement Bridain Boinebroke, d'autre part, 12 s. par. et 8 s. douysiens, dou fons de le tiere.  "
"102","102.","Sour le maison Lussain Loliviere et sour tout le tenement, ki siet entre le tenement Jakemon le Plat, d'une part, et le tenement Estievenon de Lewarde, d'autre part, 3 s. par. et 1/2 ferton et 2 capons et 1/2 ferton, dou fons de le tiere.  "
"103","103.","Sour les maisons Hamiel ki fu et sour tous les tenemens, et sour 4 maisons, ki furent Colart de Saint Eloyt, et sour tous les tenemens, ki sient entre le tenement Watier Boine Broke, d'une part, et le tenement Saint Eloyt, d'autre part, 1 marc et 12 capons, dou fons de le tiere.   "
"104","104.1","Sour le maison Symon Buee et sour tout le tenement, ki siet entre le tenement des Charteriers, d'une part, et le tenement Pieron Dou Burghet, d'autre part, 6 s. et 6 d. douysiens, et 6 capons, dou fons de le tiere. "
"105","105.2","Sour 2 maisons Pieron Dou Burghet et sour tous les tenemens, ki sient entre le tenement Symon Buee, d'une part, et le tenement Marien le Clerc, d'autre part, aprés le fons de le tiere, 2 mars.  "
"106","106.3","Sour 3 maisons Hennin Pourcelet et sour tous les tenemens, ki sient entre le tenement de le creste dou fosset de le vile, d'une part, et le tenement ki fu Margot de Goy, d'autre part, 2 s. douysiens et 2 capons, dou fons de le tiere. "
"107","107.4","Sour le maison Jakemon Barde et sour tout le tenement, et sour le maison, ki fu Marien Buee, et sour tout le tenement dusques a l'eve, ki sient entre le tenement Mgr Watier, de Saint Jakeme, d'une part, et le tenement Jehan d'Astices, ki fu Leurenc le Lanier, d'autre part, marc et 1/2, et 3 d. douysiens et un capon, dou fons de le tiere. "
"108","108.5","Sour le maison Richouart Bofflin, le jovene, et sour tout le tenement, ki fu Jehennain de Le Pree, ki siet entre le tenement Marien de Le Mouree, ki fu feme Jakemon de Le Moure, d'une part, et le tenement Marien Mouton, d'autre part, 3 mars et 4 capons, dou fons de le tiere. "
"109","109.6","Sour le maison Mariien Mouton et sour tout le tenement, ki siet entre le tenement Richouart Bofflin, d'une part, et le tenement Robiert Boine Broke, ki fu Marien de Hennin, d'autre part, 2 capons, dou fons de le tiere. "
"110","110.7","Sour 2 maisons Amant de Landast et sour tous les tenemens, ki furent Thumas de Hennin, ki sient entre le tenement Robiert Boine Broke, d'une part, et le tenement Jehan de Fresaing, d'autre part, 3 fertons et 1 lot, dou fons de le tiere. "
"111","111.8","Sour 2 maisons maistre Baude de Le Cicle et sour tous les tenemens, ki furent Robiert le Clerc, ki sient entre le tenement ki fu Waukier de Fierin, d'une part, et le tenement Williaume Malet, ki fu maistre Jehan le Castreur, d'autre part, 40 d. par., et le tierce part de 14 douysiens et le tierce part de 2 capons, dou fons de le tiere.   "
"112","112.","Sour le maison Marien Garbet et sour tout le tenement, ki fu Mehaut de Flines, ki siet joignant de le creste dou fosset de le vile, d'une part, et le tenement Marien Garbete, d'autre part, 1 ferton, dou fons de le tiere.  "
"113","113.1","Sour le maison Rissent de Le Pree et sour le maison Druion le Daniel, et sour tous les tenemens, ki sient entre les tenemens Richouart Bofflin, d'une part, et le tenement Nicholon Cailliel, d'autre part, 4 capons, dou fons de le tiere.  "
"114","114.2","Sour le maison Jehan Mauparent et sour tout le tenement, ki siet entre le tenement Pieron le Muelekinier, ki fu Watier Roussiel, d'une part, et le tenement Saint Sanson, d'autre part, 3 s. douysiens et 3 capons, dou fons de le tiere.   "
"115","115.","Sour 2 maisons Marien, fille Richart Dou Markiet ki fu, et sour tous les tenemens, ki furent Colart le Bourgois, ki sient en les tenemens, d'une part et d'autre, ki furent Richart Dou Markiet, aprés le fons de le tiere, 1 marc.  "
"116","116.1","Sour le maison Aalis Demie Escuiele et sour tout le tenement, et sour le maison Margot Sauvee et sour tout le tenement, ki sient entre le tenement Pieron Audevare, d'une part, et le tenement Watier Boine Broke, d'autre, 5 fertons et 3 s. par., dou fons de le tiere. "
